City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,talnakh,69.4865,88.3972,-9.8,96,59,5.12,RU,1713650238
152,krasnohrad,49.3814,35.4402,57.56,65,99,18.28,UA,1713650239
153,nar'yan-mar,67.6713,53.087,14.11,93,100,21.0,RU,1713650240
154,ko pha ngan,9.7578,100.0291,81.18,68,100,5.03,TH,1713650242
155,ilulissat,69.2167,-51.1,17.01,83,21,7.72,GL,1713650206
156,erlangen,49.5897,11.0039,42.04,82,75,5.75,DE,1713650244
157,timaru,-44.4,171.25,53.08,87,79,5.01,NZ,1713650245
158,springs,-26.25,28.4,64.67,32,10,6.13,ZA,1713650249
159,cabo san lucas,22.8909,-109.9124,86.18,46,0,11.52,MX,1713650154
160,tsiombe,-25.3,45.4833,68.74,95,0,2.62,MG,1713650251
161,kavieng,-2.5744,150.7967,84.34,67,81,7.96,PG,1713650252
162,chiavenna,46.3216,9.3986,46.71,75,19,9.8,IT,1713650255
163,freistadt,48.511,14.5045,33.93,96,93,2.04,AT,1713650256
164,thinadhoo,0.5333,72.9333,84.76,76,74,10.13,MV,1713650257
165,selkirk,50.1436,-96.8845,52.07,41,75,21.0,CA,1713650174
166,tazovsky,67.4667,78.7,-11.99,100,100,2.75,RU,1713650259
167,kuanda,56.3161,116.0806,33.96,96,100,4.92,RU,1713650261
168,zhezqazghan,47.7833,67.7667,61.43,48,0,19.04,KZ,1713650263
169,dingzhou,38.5131,114.9956,48.31,57,41,2.8,CN,1713650264
170,island harbour,50.724,-1.2758,44.33,71,36,4.36,GB,1713650265
171,bamboo flat,11.7,92.7167,80.2,80,98,3.83,IN,1713650268
172,kingston,17.997,-76.7936,86.95,65,20,17.27,JM,1713650004
173,el colomo,19.05,-104.25,78.71,58,29,7.34,MX,1713650270
174,cartagena del chaira,1.3349,-74.8429,84.24,70,89,1.41,CO,1713650271
175,bardai,11.65,7.2333,87.17,22,3,6.02,NG,1713650272
176,castillos,-34.1667,-53.8333,63.73,80,67,3.38,UY,1713650274
177,arraial do cabo,-22.9661,-42.0278,75.06,60,0,5.75,BR,1713650024
178,jamestown,42.097,-79.2353,43.02,43,100,16.11,US,1713650032
179,miri,4.4148,114.0089,78.94,94,40,4.61,MY,1713650277
180,mount gambier,-37.8333,140.7667,45.34,94,46,1.83,AU,1713650278
181,peniche,39.3558,-9.3811,63.28,87,79,6.44,PT,1713650280
182,ust-tsilma,65.441,52.1498,34.61,99,99,8.01,RU,1713650281
183,touros,-5.1989,-35.4608,75.92,93,100,7.25,BR,1713650283
184,anklam,53.8564,13.6897,34.05,74,69,3.13,DE,1713650284
185,aykhal,66.0,111.5,28.04,97,100,4.94,RU,1713650285
186,puerto gaitan,4.3133,-72.0816,85.19,68,99,4.72,CO,1713650074
187,kuta,-8.7233,115.1723,80.55,94,20,1.14,ID,1713650239
188,pama,11.2497,0.7075,97.86,24,73,3.85,BF,1713650289
189,chiredzi,-21.05,31.6667,65.82,57,0,3.76,ZW,1713650290
190,nueva palestina,15.8,-92.75,90.1,48,55,7.05,MX,1713650292
191,wad medani,14.4012,33.5199,91.99,12,25,11.54,SD,1713650294
192,belyy yar,53.6039,91.3903,35.49,69,0,2.24,RU,1713650297
193,raufoss,60.7264,10.6172,31.77,67,48,6.15,NO,1713650299
194,shimanovsk,52.0,127.7,41.38,69,100,9.64,RU,1713650300
195,olinda,-8.0089,-34.8553,76.73,100,0,2.3,BR,1713650301
196,taber,49.8167,-112.1518,50.0,25,0,13.8,CA,1713650302
197,alexandria,31.2156,29.9553,63.14,69,0,11.95,EG,1713650062
198,saveh,35.0213,50.3566,67.03,37,38,5.3,IR,1713650307
199,khovd,48.0056,91.6419,35.62,40,0,6.46,MN,1713650309
200,marathon,44.9,-89.7668,38.44,52,100,11.5,US,1713650310
201,jiazi,22.8779,116.067,76.71,78,59,3.98,CN,1713650311
202,necochea,-38.5473,-58.7368,58.69,66,99,10.11,AR,1713650078
203,alberton,46.8168,-64.0654,41.13,93,100,13.24,CA,1713650314
204,carnarvon,-24.8667,113.6333,73.31,26,0,10.92,AU,1713650315
205,klaksvik,62.2266,-6.589,45.52,97,100,14.29,FO,1713650316
206,severo-yeniseyskiy,60.3725,93.0408,9.57,94,84,5.01,RU,1713650317
